track_name,artist,album,duration_ms,genres,year
The Stampede,Fletcher Henderson,The Quintessence Fletcher Henderson 1924-1936: New York Chicago,196307,"['conscious hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'rap', 'west coast rap']",1960
Oh! Donna Carla!,Various Artists,Top Hits Of The 1930s,196400,"['classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",1960
Goodnight Sweetheart,Various Artists,Top Hits Of The 1930s,196440,"['anime rock', 'j-pop']",1960
West End Blues,Louis Armstrong,The Essential Louis Armstrong,196600,"['contemporary country', 'country', 'country road']",1960
A Monday Date,Earl Hines,A Monday Date,196611,"['argentine hip hop', 'latin', 'latin pop', 'rap latina', 'reggaeton', 'trap argentino', 'trap latino']",1960
Salt Peanuts,Dizzy Gillespie,Groovin' High,196640,"['latin alternative', 'latin rock', 'mexican rock', 'morelos indie', 'rock en espanol']",1960
Harlem Shake,Baauer,Harlem Shake,196664,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",1960
One Night Of Love,Various Artists,Top Hits Of The 1930s,196667,"['ohio hip hop', 'pop rap']",1960
Dinah,Various Artists,Speakeasy Music of the 1920's,196840,"['dance pop', 'hip hop', 'pop', 'r&b', 'urban contemporary']",1960
Mad About The Boy,Various Artists,Top Hits Of The 1930s,197000,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock']",1960
I'm Confessing That I Love You,Various Artists,Top Hits Of The 1930s,197093,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",1960
Concerto for Cootie - 1999 Remastered,Duke Ellington,Jazz Indispensable,197107,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']",1960
December 1963 (Oh What a Night!),Frankie Valli & The Four Seasons,Who Loves You,197147,['turkish folk'],1960
From The Top Of Your Head,Various Artists,Top Hits Of The 1930s,197267,"['latin', 'r&b en espanol', 'reggaeton', 'trap latino']",1960
Nuages - avec le Quintette Hot Club de France,Django Reinhardt,The Best Of Django Reinhardt,197280,"['dance pop', 'pop', 'post-teen pop', 'social media pop']",1960
The Streak,Ray Stevens,Greatest Hits - Original Recordings,197733,"['k-pop', 'k-pop boy group']",1960
Flat Foot Floogie (With The Floy Floy),Various Artists,Top Hits Of The 1930s,197760,"['modern rock', 'neo mellow', 'pop', 'pop rock']",1960
The Prisoner's Song,Various Artists,Roaring '20s Jazz,197827,"['banda', 'corrido', 'deep regional mexican', 'nuevo regional mexicano', 'regional mexican']",1960
I Will Survive - Single Version,Gloria Gaynor,20th Century Masters: The Millennium Collection: Best Of Gloria Gaynor,198066,"['neo mellow', 'piano rock', 'pop', 'pop rock']",1960
In the Jailhouse Now,Jimmie Rodgers,The Essential Jimmie Rodgers,198067,"['dance pop', 'pop']",1960
Now's The Time,Charlie Parker,The Essential Charlie Parker,198280,"['contemporary country', 'country', 'country road']",1960
Artistry In Rhythm,Stan Kenton,The Best Of Stan Kenton,198360,"['album rock', 'alternative metal', 'hard rock', 'melodic thrash', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']",1960
Dead Man Blues,Jelly Roll Morton,Jelly Roll Blues,198400,"['funk carioca', 'funk ostentacao']",1960
Dark Was the Night Cold Was the Ground,Blind Willie Johnson,Dark Was The Night (Mojo Workin'- Blues For The Next Generation),198560,"['funk carioca', 'funk consciente', 'funk ostentacao', 'funk paulista']",1960
Someone to Watch Over Me - 78rpm Version,Frank Sinatra,The Essential Frank Sinatra,198800,"['dance pop', 'latin', 'latin pop', 'mexican pop']",1960
Physical (Glee Cast Version) (feat. Olivia Newton-John),Glee Cast,"Glee: The Music, Volume 3 Showstoppers",198907,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'pop rock', 'rock']",1960
See See Rider Blues - Remastered,Ma Rainey,Blues Legends: Ma Rainey,199120,"['dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",1960
Bang Bang,Jessie J,Sweet Talker (Deluxe Version),199387,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house']",1960
Sexy And I Know It,LMFAO,Sorry For Party Rocking,199480,"['latin', 'latin pop', 'pop reggaeton', 'pop venezolano', 'reggaeton', 'trap latino', 'tropical']",1960
The Village of St. Bernadette,Andy Williams,Happy Heart: The Best Of Andy Williams,199547,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'rock']",1960
Stormy Weather,Various Artists,Pure... Jazz,199760,"['indie cafe pop', 'pop', 'viral pop']",1960
Basin Street Blues (06-11-29),Louisiana Rhythm Kings,Complete Jazz Series 1929 - 1930,199773,"['indie cafe pop', 'pop', 'pop rock']",1960
Hollaback Girl,Gwen Stefani,Love Angel Music Baby (Deluxe Version),199853,"['brazilian edm', 'brazilian hip hop', 'pop rap brasileiro', 'trap brasileiro']",1960
Fancy,Iggy Azalea,The New Classic (Deluxe Version),199938,"['colombian pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'rock en espanol', 'tropical']",1960
What Makes You Beautiful,One Direction,Up All Night,199987,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road']",1960
Super Bass,Nicki Minaj,Pink Friday,200013,"['indonesian jazz', 'indonesian pop']",1960
Back Water Blues,Bessie Smith,BD Music Presents Bessie Smith,200093,"['alternative metal', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'wrestling']",1970
Love Me or Leave Me,Ruth Etting,You're the Cream in My Coffee (Original Recordings 1928 -1931),200107,"['alternative metal', 'alternative rock', 'nu metal', 'permanent wave', 'post-grunge', 'rock', 'supergroup']",1970
War,Edwin Starr,War And Peace,200267,['opm'],1970
Whispering,Various Artists,Roaring '20s Jazz,200467,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",1970
Sorry,Justin Bieber,Purpose (Deluxe),200787,"['indonesian folk pop', 'indonesian indie', 'indonesian pop', 'indonesian pop punk']",1970
Your Heart And Mine,Various Artists,Top Hits Of The 1930s,200933,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance']",1970
Without You,Harry Nilsson,Nilsson Schmilsson,201000,"['francoton', 'french hip hop', 'french pop', 'pop urbaine']",1970
I've Told Ev'ry Little Star,Various Artists,Top Hits Of The 1930s,201027,"['dance pop', 'funk carioca', 'funk pop', 'pop', 'pop lgbtq+ brasileira', 'pop nacional']",1970
Lights Out,Various Artists,Top Hits Of The 1930s,201067,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",1970
Cheek To Cheek,Various Artists,Top Hits Of The 1930s,201133,"['glam metal', 'hard rock', 'metal', 'rock', 'sleaze rock']",1970
Begin The Beguine,Various Artists,Top Hits Of The 1930s,201200,"['alternative metal', 'groove metal', 'hard rock', 'metal', 'nu metal', 'old school thrash', 'rock', 'wrestling']",1970
La mer (Beyond the Sea),Charles Trenet,Charles Trenet : 10ème anniversaire,201271,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']",1970
